close_dollar,close,high_dollar,high,low_dollar,low,open_dollar,open,change_over_time,change_over_time_s,u_open,u_open_dollar,u_close,u_close_dollar,u_high,u_high_dollar,u_low,u_low_dollar,u_volume,change_percent,change_percent_s,volume,date,label,change
$179.03 ,179.03,$179.48 ,179.475,$175.55 ,175.55,$176.35 ,176.35,0,0.00%,176.35,$176.35 ,179.03,$179.03 ,179.475,$179.48 ,175.55,$175.55 ,5111970,0,0.00%,5111970,1/3/12,3-Jan-12,0
$177.51 ,177.51,$180.50 ,180.5,$176.06 ,176.065,$179.21 ,179.21,-0.008490197,-0.01%,179.21,$179.21 ,177.51,$177.51 ,180.5,$180.50 ,176.065,$176.06 ,4206624,-0.0085,-0.01%,4206624,1/4/12,4-Jan-12,-1.52
$177.61 ,177.61,$178.25 ,178.25,$174.05 ,174.05,$175.94 ,175.94,-0.007931632,-0.01%,175.94,$175.94 ,177.61,$177.61 ,178.25,$178.25 ,174.05,$174.05 ,3810496,0.0006,0.00%,3810496,1/5/12,5-Jan-12,0.1
$182.61 ,182.61,$184.65 ,184.65,$177.50 ,177.5,$178.07 ,178.07,0.019996649,0.02%,178.07,$178.07 ,182.61,$182.61 ,184.65,$184.65 ,177.5,$177.50 ,7010139,0.0282,0.03%,7010139,1/6/12,6-Jan-12,5
$178.56 ,178.56,$184.37 ,184.37,$177.00 ,177,$182.76 ,182.76,-0.002625258,0.00%,182.76,$182.76 ,178.56,$178.56 ,184.37,$184.37 ,177,$177.00 ,5058542,-0.0222,-0.02%,5058542,1/9/12,9-Jan-12,-4.05
$179.34 ,179.34,$182.40 ,182.4,$177.10 ,177.1,$181.10 ,181.1,0.001731553,0.00%,181.1,$181.10 ,179.34,$179.34 ,182.4,$182.40 ,177.1,$177.10 ,3986102,0.0044,0.00%,3986102,1/10/12,10-Jan-12,0.78
$178.90 ,178.9,$180.77 ,180.77,$178.19 ,178.19,$179.64 ,179.64,-0.000726135,0.00%,179.64,$179.64 ,178.9,$178.90 ,180.77,$180.77 ,178.19,$178.19 ,3102877,-0.0025,0.00%,3102877,1/11/12,11-Jan-12,-0.44
$175.93 ,175.93,$179.49 ,179.49,$175.75 ,175.75,$179.42 ,179.42,-0.017315534,-0.02%,179.42,$179.42 ,175.93,$175.93 ,179.49,$179.49 ,175.75,$175.75 ,5388353,-0.0166,-0.02%,5388353,1/12/12,12-Jan-12,-2.97
$178.42 ,178.42,$178.80 ,178.8,$173.50 ,173.5,$176.15 ,176.15,-0.00340725,0.00%,176.15,$176.15 ,178.42,$178.42 ,178.8,$178.80 ,173.5,$173.50 ,4754529,0.0142,0.01%,4754529,1/13/12,13-Jan-12,2.49
$181.66 ,181.66,$183.30 ,183.3,$178.51 ,178.51,$180.39 ,180.39,0.014690275,0.01%,180.39,$180.39 ,181.66,$181.66 ,183.3,$183.30 ,178.51,$178.51 ,5645244,0.0182,0.02%,5645244,1/17/12,17-Jan-12,3.24
$189.44 ,189.44,$190.25 ,190.25,$181.12 ,181.12,$181.94 ,181.94,0.058146679,0.06%,181.94,$181.94 ,189.44,$189.44 ,190.25,$190.25 ,181.12,$181.12 ,7477287,0.0428,0.04%,7477287,1/18/12,18-Jan-12,7.78
$194.45 ,194.45,$195.94 ,195.94,$190.36 ,190.36,$190.84 ,190.84,0.086130816,0.09%,190.84,$190.84 ,194.45,$194.45 ,195.94,$195.94 ,190.36,$190.36 ,7100003,0.0264,0.03%,7100003,1/19/12,19-Jan-12,5.01
$190.93 ,190.93,$192.90 ,192.9,$189.04 ,189.04,$190.97 ,190.97,0.066469307,0.07%,190.97,$190.97 ,190.93,$190.93 ,192.9,$192.90 ,189.04,$189.04 ,5610542,-0.0181,-0.02%,5610542,1/20/12,20-Jan-12,-3.52
$186.09 ,186.09,$191.73 ,191.73,$185.23 ,185.23,$190.80 ,190.8,0.039434732,0.04%,190.8,$190.80 ,186.09,$186.09 ,191.73,$191.73 ,185.23,$185.23 ,4587694,-0.0253,-0.03%,4587694,1/23/12,23-Jan-12,-4.84
$187.00 ,187,$188.41 ,188.41,$183.82 ,183.82,$185.00 ,185,0.044517679,0.04%,185,$185.00 ,187,$187.00 ,188.41,$188.41 ,183.82,$183.82 ,4681086,0.0049,0.00%,4681086,1/24/12,24-Jan-12,0.91
$187.80 ,187.8,$188.17 ,188.17,$184.61 ,184.61,$186.99 ,186.99,0.048986203,0.05%,186.99,$186.99 ,187.8,$187.80 ,188.17,$188.17 ,184.61,$184.61 ,4308183,0.0043,0.00%,4308183,1/25/12,25-Jan-12,0.8
$193.32 ,193.316,$194.85 ,194.85,$188.73 ,188.73,$189.44 ,189.44,0.079796682,0.08%,189.44,$189.44 ,193.316,$193.32 ,194.85,$194.85 ,188.73,$188.73 ,5878847,0.0294,0.03%,5878847,1/26/12,26-Jan-12,5.516
$195.37 ,195.37,$196.50 ,196.5,$192.33 ,192.33,$193.09 ,193.09,0.09126962,0.09%,193.09,$193.09 ,195.37,$195.37 ,196.5,$196.50 ,192.33,$192.33 ,4663070,0.0106,0.01%,4663070,1/27/12,27-Jan-12,2.054
$192.15 ,192.15,$195.00 ,195,$190.13 ,190.13,$193.68 ,193.68,0.073283807,0.07%,193.68,$193.68 ,192.15,$192.15 ,195,$195.00 ,190.13,$190.13 ,5430039,-0.0165,-0.02%,5430039,1/30/12,30-Jan-12,-3.22
$194.44 ,194.44,$195.63 ,195.63,$189.70 ,189.7,$194.25 ,194.25,0.08607496,0.09%,194.25,$194.25 ,194.44,$194.44 ,195.63,$195.63 ,189.7,$189.70 ,12772139,0.0119,0.01%,12772139,1/31/12,31-Jan-12,2.29
$179.46 ,179.46,$179.95 ,179.95,$172.00 ,172,$173.88 ,173.88,0.002401832,0.00%,173.88,$173.88 ,179.46,$179.46 ,179.95,$179.95 ,172,$172.00 ,21341033,-0.077,-0.08%,21341033,2/1/12,1-Feb-12,-14.98
$181.72 ,181.72,$181.94 ,181.9362,$176.80 ,176.8,$179.95 ,179.95,0.015025415,0.02%,179.95,$179.95 ,181.72,$181.72 ,181.9362,$181.94 ,176.8,$176.80 ,8738896,0.0126,0.01%,8738896,2/2/12,2-Feb-12,2.26
$187.68 ,187.68,$187.90 ,187.9,$181.89 ,181.89,$182.63 ,182.63,0.048315925,0.05%,182.63,$182.63 ,187.68,$187.68 ,187.9,$187.90 ,181.89,$181.89 ,8122732,0.0328,0.03%,8122732,2/3/12,3-Feb-12,5.96
$183.14 ,183.14,$186.56 ,186.56,$182.92 ,182.9201,$186.50 ,186.5,0.022957046,0.02%,186.5,$186.50 ,183.14,$183.14 ,186.56,$186.56 ,182.9201,$182.92 ,5311645,-0.0242,-0.02%,5311645,2/6/12,6-Feb-12,-4.54
$184.19 ,184.19,$184.94 ,184.94,$182.06 ,182.06,$182.65 ,182.65,0.028821985,0.03%,182.65,$182.65 ,184.19,$184.19 ,184.94,$184.94 ,182.06,$182.06 ,5104453,0.0057,0.01%,5104453,2/7/12,7-Feb-12,1.05
$185.48 ,185.48,$186.49 ,186.49,$182.91 ,182.91,$184.95 ,184.95,0.036027481,0.04%,184.95,$184.95 ,185.48,$185.48 ,186.49,$186.49 ,182.91,$182.91 ,5477425,0.007,0.01%,5477425,2/8/12,8-Feb-12,1.29
$184.98 ,184.98,$185.69 ,185.69,$181.76 ,181.76,$184.50 ,184.5,0.033234653,0.03%,184.5,$184.50 ,184.98,$184.98 ,185.69,$185.69 ,181.76,$181.76 ,7189994,-0.0027,0.00%,7189994,2/9/12,9-Feb-12,-0.5
$185.54 ,185.54,$187.63 ,187.63,$182.52 ,182.52,$183.42 ,183.42,0.036362621,0.04%,183.42,$183.42 ,185.54,$185.54 ,187.63,$187.63 ,182.52,$182.52 ,5798484,0.003,0.00%,5798484,2/10/12,10-Feb-12,0.56
$191.59 ,191.59,$192.50 ,192.4993,$185.68 ,185.68,$187.17 ,187.17,0.07015584,0.07%,187.17,$187.17 ,191.59,$191.59 ,192.4993,$192.50 ,185.68,$185.68 ,6073565,0.0326,0.03%,6073565,2/13/12,13-Feb-12,6.05
$191.30 ,191.3,$193.57 ,193.57,$186.10 ,186.1,$190.65 ,190.65,0.068536,0.07%,190.65,$190.65 ,191.3,$191.30 ,193.57,$193.57 ,186.1,$186.10 ,9534544,-0.0015,0.00%,9534544,2/14/12,14-Feb-12,-0.29
$184.47 ,184.47,$191.54 ,191.54,$183.26 ,183.26,$191.03 ,191.03,0.030385969,0.03%,191.03,$191.03 ,184.47,$184.47 ,191.54,$191.54 ,183.26,$183.26 ,7802059,-0.0357,-0.04%,7802059,2/15/12,15-Feb-12,-6.83
