grant date,average yoy,average since grant
2012-01-03,32,111
2012-01-04,32,112
2012-01-05,31,113
2012-01-06,31,107
2012-01-07,30,110
2012-01-08,29,109
2012-01-09,31,111
2012-01-10,32,109
2012-01-11,34,113
2012-01-12,34,118
2012-01-13,32,112
2012-01-14,33,111
2012-01-15,32,108
2012-01-16,33,109
2012-01-17,33,110
2012-01-18,33,103
2012-01-19,32,98
2012-01-20,32,101
2012-01-21,32,107
2012-01-22,31,109
2012-01-23,31,108
2012-01-24,33,110
2012-01-25,31,108
2012-01-26,32,102
2012-01-27,31,98
2012-01-28,33,105
2012-01-29,31,100
2012-01-30,26,105
2012-01-31,25,99
2012-02-01,27,114
2012-02-02,26,110
2012-02-03,25,101
2012-02-04,25,107
2012-02-05,23,105
2012-02-06,22,104
2012-02-07,22,102
2012-02-08,22,101
2012-02-09,22,101
2012-02-10,22,101
2012-02-11,22,96
2012-02-12,22,96
2012-02-13,22,100
2012-02-14,22,100
2012-02-15,23,106
2012-02-16,24,112
2012-02-17,24,110
2012-02-18,24,109
2012-02-19,24,110
2012-02-20,24,111
2012-02-21,23,108
2012-02-22,22,108
2012-02-23,23,110
2012-02-24,23,109
2012-02-25,22,111
2012-02-26,24,115
2012-02-27,24,115
2012-02-28,23,110
2012-02-29,23,114
2012-03-01,24,115
2012-03-02,24,118
2012-03-03,24,116
2012-03-04,24,116
2012-03-05,24,118
2012-03-06,24,116
2012-03-07,24,113
2012-03-08,24,108
2012-03-09,24,111
2012-03-10,25,112
2012-03-11,26,113
2012-03-12,25,113
2012-03-13,24,111
2012-03-14,25,113
2012-03-15,25,111
2012-03-16,25,110
2012-03-17,26,110
2012-03-18,26,111
2012-03-19,27,111
2012-03-20,25,104
2012-03-21,26,103
2012-03-22,26,101
2012-03-23,26,99
2012-03-24,26,93
2012-03-25,25,91
2012-03-26,25,89
2012-03-27,24,87
2012-03-28,24,91
2012-03-29,24,88
2012-03-30,25,91
2012-03-31,26,95
2012-04-01,26,97
2012-04-02,26,97
2012-04-03,27,96
2012-04-04,28,101
2012-04-05,28,99
2012-04-06,28,102
2012-04-07,28,101
2012-04-08,27,102
2012-04-09,26,102
2012-04-10,27,108
2012-04-11,27,107
2012-04-12,27,105
2012-04-13,28,108
2012-04-14,28,112
2012-04-15,29,113
2012-04-16,29,115
2012-04-17,30,111
2012-04-18,30,111
2012-04-19,29,110
2012-04-20,29,111
2012-04-21,29,113
2012-04-22,29,113
2012-04-23,29,114
2012-04-24,26,118
2012-04-25,29,113
2012-04-26,30,109
2012-04-27,28,79
2012-04-28,28,75
2012-04-29,30,80
2012-04-30,31,81
2012-05-01,31,83
2012-05-02,31,83
2012-05-03,30,83
2012-05-04,31,88
2012-05-05,31,87
2012-05-06,32,87
2012-05-07,31,87
2012-05-08,32,89
2012-05-09,32,90
2012-05-10,32,90
2012-05-11,32,91
2012-05-12,33,94
2012-05-13,32,93
2012-05-14,33,95
2012-05-15,34,93
2012-05-16,34,93
2012-05-17,33,97
2012-05-18,35,103
2012-05-19,34,98
2012-05-20,34,100
2012-05-21,34,101
2012-05-22,35,104
2012-05-23,35,102
2012-05-24,36,104
2012-05-25,36,107
2012-05-26,36,106
2012-05-27,36,107
2012-05-28,36,107
2012-05-29,35,106
2012-05-30,36,112
2012-05-31,36,108
2012-06-01,37,114
